,name,rating,reviews,type of Company,headQuarter,Age of Company,Employees
255,Bhushan Power & St...,3.9,(1.2k Reviews),Private,"Delhi/NCR,New Delhi + 42 more",52 years old,5k-10k employees (Global)
256,Voltas,4.1,(1.2k Reviews),Public,"Mumbai,Maharashtra + 115 more",68 years old,10k-50k employees (Global)
257,PVR Cinemas,4.4,(1.1k Reviews),Public,Gurgaon + 79 more,25 years old,1k-5k employees (India)
258,Biocon Biologics I...,3.9,(1.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 51 more",44 years old,10k-50k employees (Global)
259,GeBBS Healthcare S...,3.8,(1.1k Reviews),Private,"Culver City,California + 8 more",17 years old,1k-5k employees (India)
260,Aakash Institute,3.5,(1.1k Reviews),Private,"New Delhi,Delhi + 119 more",34 years old,5k-10k employees (India)
261,I Process Services,4.0,(1.1k Reviews),Private,"Delhi/NCR,Delhi + 168 more",17 years old,5k-10k employees (Global)
262,PolicyBazaar,3.7,(1.1k Reviews),Private,Gurgaon + 16 more,14 years old,5k-10k employees (India)
263,Mankind Pharma,4.1,(1.1k Reviews),Private,"New Delhi,Delhi + 125 more",27 years old,10k-50k employees (Global)
264,HDFC Ergo General ...,3.9,(1.1k Reviews),Public,"Mumbai,Maharashtra + 125 more",20 years old,1k-5k employees (India)
265,Suzuki,4.1,(1.1k Reviews),Private,"Vadodara/Baroda,Gujarat + 113 more",8 years old,1k-5k employees (India)
266,Bank of America,4.4,(1.1k Reviews),Private,Charlotte + 26 more,24 years old,10k-50k employees (India)
267,Big Bazaar,4.2,(1.1k Reviews),Private,"Mumbai,Maharashtra + 143 more",21 years old,10k-50k employees (Global)
268,Sterling & Wilson,4.1,(1.1k Reviews),Private,"Mumbai,Maharashtra + 60 more",95 years old,1k-5k employees (India)
269,Reliance Digital,4.3,(1.1k Reviews),Private,"Mumbai,Maharashtra + 179 more",15 years old,1k-5k employees (India)
270,Indian Navy,4.6,(1.1k Reviews),Private,"Delhi/NCR,Delhi + 51 more",72 years old,50k-1 Lakh employees (Global)
271,JK Cement,4.2,(1.1k Reviews),Public,Iselin + 157 more,48 years old,1k-5k employees (India)
272,L&T Technology Ser...,3.2,(1.1k Reviews),"Vadodara/Baroda,Gujarat + 17 more",10 years old,10k-50k employees (Global),
273,JMC Projects,4.3,(1.1k Reviews),Public,"Mumbai,Maharashtra + 74 more",40 years old,1k-5k employees (India)
274,Birla Sun Life Ins...,4.2,(1.1k Reviews),"Mumbai,Maharashtra + 237 more",22 years old,10k-50k employees (Global),
275,Renault-Nissan,4.1,(1.1k Reviews),"Chennai,Tamil Nadu + 53 more",12 years old,1 Lakh+ employees (Global),
276,Emcure Pharmaceuti...,4.0,(1.1k Reviews),Private,Pune + 71 more,41 years old,10k-50k employees (Global)
277,Exide Life Insuran...,3.6,(1.1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 175 more",21 years old,1k-5k employees (India)
278,Aditya Birla Group,4.2,(1.1k Reviews),"Mumbai,Maharashtra + 153 more",165 years old,1 Lakh+ employees (India),
279,AFCONS Infrastruct...,4.4,(1.1k Reviews),Partnership,"Mumbai,Maharashtra + 57 more",63 years old,5k-10k employees (India)
280,Micro Labs,3.7,(1.1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 85 more",49 years old,10k-50k employees (Global)
281,The Himalaya Drug ...,4.2,(1.1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 122 more",92 years old,5k-10k employees (India)
282,Tata AIG General I...,4.0,(1.1k Reviews),Private,"Mumbai,Maharashtra + 153 more",22 years old,1k-5k employees (Global)
283,Ajanta Pharma,4.0,(1.1k Reviews),Public,"Mumbai,Maharashtra + 77 more",49 years old,5k-10k employees (Global)
284,Berger Paints,3.8,(1.1k Reviews),Public,"Kolkata,West Bengal + 146 more",99 years old,5k-10k employees (Global)
285,Yamaha Motor,3.9,(1.1k Reviews),Private,"Iwata,Shizuoka + 88 more",15 years old,1k-5k employees (India)
286,R.R. Donnelley,4.1,(1.1k Reviews),Private,"Chicago,Illinois + 7 more",158 years old,1-10 employees (India)
287,Cholamandalam MS G...,3.9,(1.1k Reviews),JV,"Chennai,Tamil Nadu + 234 more",21 years old,10k-50k employees (India)
288,TVS Sundram Fasten...,3.9,(1.1k Reviews),Public,"Chennai,Tamil Nadu + 32 more",56 years old,10k-50k employees (Global)
289,Blue Star,4.0,(1.1k Reviews),Public,"Mumbai,Maharashtra + 88 more",79 years old,1k-5k employees (India)
290,Exide Industries,3.8,(1.1k Reviews),Public,"Kolkata,West Bengal + 138 more",75 years old,10k-50k employees (Global)
291,Indiabulls,3.8,(1.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 131 more",22 years old,10k-50k employees (India)
292,Sonalika Tractors,4.0,(1.1k Reviews),Private,"Hoshiarpur,Punjab + 103 more",53 years old,10k-50k employees (Global)
293,Utkarsh Small Fina...,3.9,(1k Reviews),Public,"Varanasi/Benaras,Uttar Pradesh + 157 more",13 years old,1k-5k employees (India)
294,Hyatt Regency,4.3,(1k Reviews),Private,"New Delhi,Delhi + 36 more",42 years old,1k-5k employees (India)
295,Mahindra Holidays ...,3.7,(1k Reviews),Private,"Chennai,Tamil Nadu + 79 more",26 years old,1k-5k employees (India)
296,Ekart Logistics,4.2,(1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 274 more",13 years old,5k-10k employees (India)
297,Cogent E Services,3.2,(1k Reviews),Private,"Noida,Uttar Pradesh + 20 more",18 years old,5k-10k employees (Global)
298,Karvy Data Managem...,3.5,(1k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 81 more",14 years old,1k-5k employees (Global)
